Input =("
Objects Architecture Effects Resolution Time
16000 APU xx-TR-xx 1280x720 6.53
1000 APU xx-TR-RE 1440x900 4.22
1000 APU AA-xx-RE 1280x720 6.13
16000 APU AA-TR-xx 1440x900 21.75
4000 APU xx-xx-RE 1280x720 4.47
260000 APU xx-xx-RE 1280x720 19.76
260000 APU AA-TR-xx 1440x900 76.95
65000 APU xx-xx-xx 1280x720 5.93
1000 APU AA-TR-RE 1440x900 8.43
4000 APU AA-TR-xx 1920x1080 14.02
1000 APU AA-TR-xx 1280x720 6.78
1000 APU AA-TR-xx 1440x900 7.34
4000 APU AA-xx-xx 1920x1080 9.66
65000 APU xx-TR-xx 1280x720 8.60
260000 APU xx-TR-xx 1280x720 16.80
65000 APU xx-xx-xx 1920x1080 7.70
65000 APU xx-xx-xx 1440x900 6.88
260000 APU AA-xx-RE 1920x1080 124.75
65000 APU xx-xx-xx 1920x1080 8.01
16000 APU AA-xx-xx 1280x720 10.00
4000 APU xx-xx-xx 1920x1080 4.99
260000 APU xx-xx-RE 1920x1080 28.53
4000 APU xx-TR-xx 1440x900 5.37
16000 APU xx-xx-xx 1280x720 4.76
65000 APU xx-TR-RE 1920x1080 29.47
260000 APU xx-xx-RE 1920x1080 28.64
1000 APU xx-xx-RE 1280x720 3.67
16000 APU xx-xx-RE 1440x900 7.61
65000 APU AA-TR-RE 1920x1080 136.74
4000 APU AA-TR-xx 1920x1080 13.92
260000 APU xx-TR-xx 1440x900 19.01
260000 APU AA-xx-RE 1920x1080 124.42
4000 APU xx-TR-RE 1440x900 6.22
4000 APU xx-TR-RE 1920x1080 7.32
1000 APU xx-xx-RE 1440x900 4.02
260000 APU AA-TR-xx 1920x1080 92.29
16000 APU AA-xx-xx 1440x900 11.49
1000 APU xx-xx-xx 1280x720 3.48
16000 APU xx-xx-RE 1920x1080 8.54
65000 APU AA-xx-xx 1440x900 19.19
260000 APU xx-TR-RE 1280x720 41.84
1000 APU xx-TR-xx 1440x900 4.27
1000 APU xx-xx-RE 1920x1080 4.18
1000 APU AA-xx-xx 1920x1080 6.65
65000 APU AA-xx-xx 1280x720 15.72
260000 APU xx-TR-xx 1280x720 16.81
260000 APU xx-xx-RE 1440x900 23.98
16000 APU xx-TR-RE 1920x1080 15.10
4000 APU xx-xx-RE 1440x900 5.03
260000 APU AA-xx-xx 1440x900 46.95
1000 APU xx-TR-RE 1280x720 3.74
260000 APU xx-xx-RE 1440x900 23.44
4000 APU xx-xx-RE 1440x900 5.20
16000 APU AA-TR-xx 1280x720 19.55
65000 APU xx-xx-RE 1280x720 9.00
260000 APU AA-xx-xx 1280x720 39.30
65000 APU xx-xx-xx 1920x1080 7.51
260000 APU AA-xx-RE 1920x1080 124.93
260000 APU AA-xx-RE 1280x720 84.38
65000 APU xx-TR-xx 1440x900 10.57
1000 APU AA-TR-xx 1920x1080 7.89
16000 APU xx-xx-RE 1920x1080 8.70
4000 APU AA-TR-RE 1440x900 20.52
65000 APU xx-xx-xx 1280x720 6.34
65000 APU AA-TR-RE 1920x1080 136.12
4000 APU xx-xx-RE 1440x900 4.94
1000 APU AA-xx-xx 1280x720 5.20
16000 APU xx-TR-xx 1280x720 6.28
65000 APU xx-xx-xx 1280x720 6.23
65000 APU xx-TR-RE 1280x720 18.42
65000 APU xx-TR-RE 1920x1080 29.11
260000 APU AA-xx-xx 1920x1080 55.05
16000 APU AA-xx-xx 1920x1080 13.66
16000 APU xx-TR-xx 1280x720 6.25
65000 APU AA-xx-RE 1280x720 33.15
16000 APU AA-TR-xx 1920x1080 26.78
1000 APU AA-xx-xx 1440x900 5.97
16000 APU AA-TR-xx 1920x1080 26.20
65000 APU xx-xx-xx 1440x900 7.04
4000 APU AA-xx-RE 1280x720 10.42
16000 APU AA-xx-RE 1280x720 19.49
4000 APU xx-TR-xx 1280x720 4.76
16000 APU xx-xx-xx 1920x1080 5.69
4000 APU AA-xx-xx 1280x720 6.81
65000 APU AA-xx-xx 1280x720 16.39
260000 APU AA-TR-xx 1440x900 76.67
4000 APU xx-TR-RE 1920x1080 7.45
4000 APU xx-TR-xx 1920x1080 5.77
16000 APU xx-xx-RE 1440x900 7.46
16000 APU AA-TR-xx 1440x900 22.71
260000 APU xx-xx-RE 1920x1080 28.47
260000 APU xx-xx-xx 1440x900 13.24
65000 APU xx-TR-RE 1920x1080 29.38
4000 APU xx-TR-RE 1920x1080 7.34
4000 APU xx-xx-xx 1440x900 4.61
16000 APU AA-xx-xx 1280x720 9.98
260000 APU xx-TR-xx 1920x1080 22.58
4000 APU xx-xx-RE 1280x720 4.51
16000 APU AA-xx-xx 1920x1080 13.79
16000 APU xx-TR-RE 1440x900 13.34
260000 APU AA-TR-RE 1280x720 197.45
65000 APU AA-TR-RE 1280x720 83.30
1000 APU xx-TR-xx 1920x1080 4.23
1000 APU AA-TR-RE 1280x720 7.34
65000 APU AA-TR-xx 1920x1080 43.91
16000 APU xx-TR-xx 1440x900 7.38
4000 APU xx-xx-RE 1280x720 4.63
4000 APU AA-TR-RE 1440x900 20.43
260000 APU AA-xx-xx 1440x900 47.61
16000 APU AA-xx-RE 1280x720 19.11
1000 APU AA-xx-RE 1920x1080 7.97
260000 APU xx-TR-xx 1440x900 19.01
4000 APU AA-xx-xx 1280x720 6.89
16000 APU xx-TR-RE 1280x720 10.50
1000 APU AA-xx-xx 1440x900 6.02
16000 APU AA-xx-xx 1440x900 11.20
1000 APU AA-xx-RE 1440x900 6.96
1000 APU xx-xx-xx 1440x900 4.10
1000 APU AA-TR-xx 1280x720 6.59
260000 APU xx-TR-RE 1280x720 41.83
65000 APU xx-xx-RE 1440x900 11.25
16000 APU AA-xx-RE 1440x900 24.74
16000 APU AA-TR-RE 1440x900 55.79
4000 APU xx-TR-xx 1440x900 5.12
65000 APU xx-TR-xx 1440x900 10.38
