Objects,Architecture,Effects,Resolution,Time
1000,CPU,xx-TR-RE,1920x1080,5.89
4000,CPU,AA-TR-xx,1280x720,33.85
16000,APU,AA-TR-xx,1280x720,19.88
4000,GPU,AA-TR-xx,1280x720,14.65
16000,APU,xx-TR-RE,1920x1080,15.49
4000,APU,AA-xx-RE,1440x900,12.55
65000,GPU,xx-xx-RE,1920x1080,34.38
4000,APU,xx-xx-xx,1920x1080,4.89
16000,CPU,AA-TR-RE,1280x720,99.12
65000,APU,xx-xx-RE,1280x720,9.00
4000,CPU,AA-xx-RE,1280x720,28.64
260000,APU,xx-TR-RE,1440x900,53.04
1000,CPU,xx-TR-RE,1920x1080,5.88
16000,CPU,AA-TR-RE,1280x720,99.31
65000,APU,xx-TR-RE,1440x900,24.49
16000,CPU,xx-TR-RE,1280x720,19.88
1000,GPU,xx-TR-xx,1280x720,1.26
260000,APU,AA-xx-RE,1920x1080,124.75
1000,GPU,AA-xx-RE,1280x720,4.71
4000,CPU,xx-TR-RE,1440x900,10.76
260000,APU,xx-xx-RE,1280x720,20.09
65000,APU,xx-xx-RE,1440x900,11.11
260000,CPU,xx-xx-xx,1440x900,46.25
260000,GPU,AA-TR-xx,1280x720,321.98
16000,GPU,AA-TR-RE,1920x1080,159.12
1000,GPU,AA-TR-xx,1920x1080,6.46
4000,CPU,AA-TR-xx,1920x1080,53.79
16000,GPU,AA-xx-xx,1280x720,16.27
4000,APU,AA-TR-xx,1440x900,11.86
65000,CPU,xx-xx-RE,1440x900,25.74
16000,CPU,xx-TR-RE,1920x1080,31.36
4000,CPU,AA-TR-RE,1440x900,53.02
4000,CPU,AA-xx-RE,1440x900,38.30
4000,CPU,AA-xx-xx,1280x720,24.35
1000,GPU,xx-TR-xx,1280x720,1.39
1000,GPU,AA-TR-RE,1440x900,7.67
260000,APU,AA-xx-xx,1920x1080,54.90
1000,CPU,AA-xx-RE,1920x1080,25.34
1000,GPU,xx-xx-xx,1920x1080,1.22
4000,CPU,AA-xx-RE,1920x1080,47.62
1000,CPU,xx-TR-xx,1280x720,3.71
16000,APU,xx-TR-RE,1440x900,13.14
65000,APU,xx-TR-xx,1920x1080,11.65
16000,CPU,AA-TR-RE,1440x900,130.20
260000,GPU,xx-TR-RE,1920x1080,257.82
16000,GPU,AA-TR-RE,1920x1080,159.96
16000,APU,xx-xx-xx,1280x720,4.60
260000,GPU,xx-TR-RE,1280x720,170.34
260000,GPU,AA-xx-xx,1920x1080,260.17
16000,GPU,xx-xx-RE,1280x720,8.54
65000,CPU,xx-xx-RE,1920x1080,32.71
1000,GPU,xx-TR-xx,1280x720,1.22
1000,APU,xx-TR-xx,1440x900,4.27
65000,APU,xx-xx-xx,1440x900,6.88
65000,GPU,xx-xx-RE,1920x1080,34.38
4000,CPU,AA-TR-xx,1440x900,44.32
16000,GPU,AA-xx-RE,1920x1080,64.79
260000,CPU,xx-TR-xx,1440x900,64.14
65000,APU,xx-xx-RE,1280x720,9.16
1000,CPU,xx-TR-xx,1280x720,3.69
1000,CPU,xx-xx-xx,1440x900,3.97
1000,APU,xx-TR-xx,1920x1080,4.13
65000,APU,AA-TR-xx,1440x900,36.90
4000,GPU,AA-xx-RE,1920x1080,19.82
65000,CPU,xx-xx-RE,1440x900,25.69
260000,APU,xx-xx-xx,1920x1080,14.98
1000,CPU,xx-xx-xx,1920x1080,4.95
260000,APU,AA-TR-RE,1440x900,252.05
260000,CPU,AA-TR-xx,1440x900,314.70
65000,APU,xx-xx-RE,1440x900,11.54
4000,APU,xx-TR-xx,1440x900,5.46
65000,APU,AA-TR-xx,1440x900,36.03
16000,CPU,AA-xx-xx,1920x1080,64.95
16000,CPU,xx-xx-xx,1920x1080,13.09
260000,CPU,xx-xx-xx,1440x900,46.39
16000,GPU,xx-xx-RE,1920x1080,13.30
260000,GPU,xx-xx-xx,1440x900,47.32
16000,GPU,xx-xx-RE,1440x900,11.31
16000,GPU,xx-TR-xx,1440x900,10.41
4000,APU,AA-TR-RE,1280x720,17.10
16000,APU,xx-TR-xx,1280x720,6.22
1000,CPU,AA-TR-RE,1440x900,24.17
16000,CPU,xx-xx-RE,1920x1080,18.12
4000,CPU,xx-TR-xx,1440x900,8.95
65000,CPU,xx-xx-xx,1440x900,18.18
1000,CPU,AA-TR-RE,1920x1080,28.93
260000,CPU,AA-xx-xx,1440x900,226.57
1000,GPU,xx-TR-RE,1920x1080,1.95
65000,APU,AA-TR-RE,1920x1080,135.59
260000,APU,AA-xx-RE,1920x1080,124.67
65000,GPU,xx-xx-RE,1280x720,21.33
65000,GPU,AA-TR-RE,1280x720,284.80
260000,GPU,xx-TR-RE,1440x900,213.49
65000,CPU,xx-TR-RE,1280x720,34.93
16000,APU,xx-xx-xx,1280x720,4.66
65000,CPU,AA-TR-xx,1280x720,105.66
4000,CPU,xx-xx-xx,1440x900,6.57
1000,GPU,xx-xx-xx,1280x720,1.04
65000,GPU,xx-TR-xx,1440x900,24.53
4000,GPU,xx-TR-xx,1440x900,3.83
260000,GPU,AA-TR-RE,1440x900,1056.43
260000,GPU,AA-TR-RE,1440x900,1056.61
1000,GPU,xx-xx-xx,1920x1080,1.34
4000,GPU,AA-xx-xx,1280x720,7.42
260000,CPU,xx-TR-RE,1920x1080,127.90
1000,GPU,xx-xx-RE,1440x900,1.41
16000,GPU,xx-TR-RE,1440x900,28.65
16000,CPU,AA-TR-RE,1280x720,99.10
260000,GPU,AA-TR-RE,1280x720,837.53
4000,GPU,xx-TR-xx,1440x900,3.81
1000,GPU,xx-TR-RE,1920x1080,2.09
16000,GPU,xx-xx-RE,1280x720,8.59
16000,APU,AA-xx-RE,1920x1080,30.58
