"APU:1000" "APU:4000" "APU:16000" "APU:65000" "APU:260000" "CPU:1000" "CPU:4000" "CPU:16000" "CPU:65000" "CPU:260000" "GPU:1000" "GPU:4000" "GPU:16000" "GPU:65000"
"APU:4000" 0.188418853434201 NA NA NA NA NA NA NA NA NA NA NA NA NA
"APU:16000" 0.000353597010082907 0.0253494383987453 NA NA NA NA NA NA NA NA NA NA NA NA
"APU:65000" 3.79661948079843e-10 8.4990969246813e-07 0.00780673114107453 NA NA NA NA NA NA NA NA NA NA NA
"APU:260000" 9.20148081373683e-32 1.73402362431622e-25 1.88227889014022e-16 2.6656125066453e-08 NA NA NA NA NA NA NA NA NA NA
"CPU:1000" 0.025220645572304 0.359251339423261 0.188599451269818 6.49947783355485e-05 1.51399336394381e-21 NA NA NA NA NA NA NA NA NA
"CPU:4000" 4.43366580566127e-07 0.000210889420019675 0.147897552188318 0.22911577070044 1.23160364486055e-11 0.00556002450657631 NA NA NA NA NA NA NA NA
"CPU:16000" 8.31350516167082e-20 6.76234026950207e-15 2.96569436277197e-08 0.00439311284170409 0.00740366293586472 6.3656106223669e-12 4.70508900112698e-05 NA NA NA NA NA NA NA
"CPU:65000" 3.63181044859901e-42 5.33388280227627e-35 2.65984989077674e-24 4.74469926289702e-14 0.0497269087706535 2.09262875002753e-30 2.40471614026126e-18 2.90440879288634e-06 NA NA NA NA NA NA
"CPU:260000" 1.13681193493805e-111 3.71724708670662e-101 4.31589407634463e-84 2.99744942885132e-65 1.51125245433811e-32 4.89193180072791e-94 1.56681896896718e-73 3.52611155121584e-47 2.19246859948174e-23 NA NA NA NA NA
"GPU:1000" 0.227945974452843 0.0112021821454281 1.58739547025308e-06 7.73527148038372e-14 5.52020429642235e-38 0.000537555350991537 3.64783610366185e-10 7.44827032138616e-25 3.28345061777344e-49 1.56072732504709e-121 NA NA NA NA
"GPU:4000" 0.0902468523245611 0.702240863966928 0.0622009477392543 5.27842140229961e-06 7.30550845306104e-24 0.580315342947463 0.000863216981712495 1.15786819276602e-13 4.20547203908143e-33 2.93750025477732e-98 0.00370752490729973 NA NA NA
"GPU:16000" 2.15737835764246e-12 1.28144727014555e-08 0.000611937729354353 0.448490875543185 1.59054559197995e-06 1.8657247654412e-06 0.0501621099124719 0.0368679325248892 1.18426548261913e-11 3.38321740408354e-60 1.87065614137964e-16 1.05713246688875e-07 NA NA
"GPU:65000" 2.139310108818e-46 7.02885665275259e-39 1.32024916302435e-27 1.34905646200632e-16 0.00695827319437085 4.80878614796438e-34 3.01501493237511e-21 6.20647479949554e-08 0.460840354586418 2.43275761090286e-20 1.07520139706825e-53 6.83624314680748e-37 5.73223414874817e-14 NA
"GPU:260000" 5.45684196665421e-161 1.97447599463593e-149 2.25988147842494e-130 1.51094677181941e-108 2.81938499204479e-67 1.26226249117459e-141 2.84850793718336e-118 1.82635375549052e-86 2.28507362436721e-54 4.4910243018508e-09 1.52461330516748e-171 2.72764838031359e-146 1.6745995107941e-102 7.35089625672201e-50
